"","school_district","household_income","household_income_all_households","household_income_all_households_with_earnings","household_income_all_households_with_earnings_with_wages_or_salary_income","household_income_all_households_with_earnings_with_self_employment_income","household_income_all_households_with_interest_dividends_or_net_rental_income","ssi_percent","household_income_all_households_with_supplemental_security_income_ssi","household_income_all_households_with_cash_public_assistance_income_or_food_stamps_snap","household_income_all_households_with_cash_public_assistance_income_or_food_stamps_snap_with_cash_public_assistance","household_income_all_households_with_retirement_income","household_income_all_households_with_other_types_of_income","family_income_by_number_of_workers_in_family","family_income_by_number_of_workers_in_family_all_families","family_income_by_number_of_workers_in_family_all_families_no_workers","family_income_by_number_of_workers_in_family_all_families_1_worker","family_income_by_number_of_workers_in_family_all_families_2_workers_both_spouses_worked","family_income_by_number_of_workers_in_family_all_families_2_workers_other","family_income_by_number_of_workers_in_family_all_families_3_or_more_workers_both_spouses_worked","family_income_by_number_of_workers_in_family_all_families_3_or_more_workers_other","per_capita_income_by_race_and_hispanic_or_latino_origin","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_white","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_black_or_african_american","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_american_indian_and_alaska_native","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_asian","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_native_hawaiian_and_other_pacific_islander","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_some_other_race","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_two_or_more_races","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_hispanic_or_latino_origin_of_any_race","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_white_alone_not_hispanic_or_latino","state"
"440","Old Bridge Township School",NA,"25,824","84.3%","82.5%","10.2%","20.8%",29.2,"3.8%","7.9%","2.9%","32.5%","17.5%",NA,"18,286","8.2%","33.5%","25.7%","12.6%","15.1%","4.9%",NA,"67,277",NA,"60.0%","7.7%","0.4%","12.8%","0.0%","6.6%","12.6%","17.3%","57.6%",NA
"441","Middletown Township School",NA,"25,299","77.1%","76.2%","8.6%","28.8%",33.8,"3.3%","4.6%","2.1%","35.1%","12.3%",NA,"18,849","N","N","N","N","N","N",NA,"67,061",NA,"86.7%","0.9%","0.0%","3.3%","0.0%","1.0%","8.0%","6.1%","86.2%",NA
"442","Newark City School",NA,"115,145","73.9%","72.0%","9.1%","8.2%",25.1,"9.5%","24.8%","5.3%","12.2%","16.2%",NA,"70,901","17.4%","40.1%","17.3%","16.3%","3.2%","5.6%",NA,"307,216",NA,"9.2%","47.1%","0.3%","2.5%","0.0%","29.3%","11.5%","36.2%","7.5%",NA
"443","Passaic City School",NA,"20,446","80.0%","77.4%","10.6%","7.8%",24.2,"11.2%","41.3%","2.4%","10.6%","23.8%",NA,"15,391","13.9%","37.8%","14.4%","15.0%","8.4%","10.5%",NA,"69,637",NA,"21.1%","6.6%","1.1%","4.0%","0.0%","11.8%","55.4%","N","N",NA
"444","Paterson City School",NA,"51,612","74.9%","72.9%","9.6%","5.4%",29.2,"8.5%","37.3%","4.8%","7.3%","24.5%",NA,"37,277","14.4%","36.3%","13.8%","18.0%","11.1%","6.4%",NA,"157,783",NA,"9.1%","23.6%","0.4%","4.7%","0.0%","37.8%","24.4%","64.1%","6.9%",NA
"445","Toms River Regional School",NA,"41,705","78.0%","75.8%","8.9%","20.2%",38.8,"4.2%","7.7%","2.7%","29.5%","15.3%",NA,"28,660","12.8%","29.5%","27.3%","16.5%","12.0%","1.9%",NA,"112,025",NA,"80.8%","5.2%","0.0%","2.7%","0.1%","5.0%","6.2%","10.5%","78.9%",NA
"446","Trenton City School",NA,"34,116","65.8%","64.1%","7.3%","6.1%",31.9,"8.8%","31.6%","4.4%","21.9%","14.5%",NA,"19,143","15.0%","31.7%","12.4%","19.8%","16.2%","5.0%",NA,"90,458",NA,"17.4%","48.4%","0.3%","0.1%","0.0%","24.4%","9.4%","N","N",NA
"447","Union City School",NA,"24,041","83.6%","83.1%","6.8%","4.9%",21.1,"3.9%","25.2%","5.0%","15.8%","17.5%",NA,"15,663","6.9%","34.0%","19.3%","20.9%","10.6%","8.3%",NA,"65,639",NA,"17.1%","4.4%","1.1%","4.2%","0.0%","34.5%","38.7%","82.9%","8.3%",NA
"448","Woodbridge Township School",NA,"36,205","86.1%","84.8%","8.5%","18.6%",31,"4.0%","5.6%","1.9%","21.1%","11.5%",NA,"27,351","7.5%","27.5%","32.4%","13.9%","14.7%","4.0%",NA,"103,208",NA,"44.2%","10.7%","0.1%","25.9%","0.0%","7.2%","11.9%","19.6%","40.7%",NA
"449","Albany City School",NA,"44,279","74.6%","72.7%","6.9%","16.3%",28.6,"6.1%","23.7%","6.4%","23.8%","14.6%",NA,"16,294","N","N","N","N","N","N",NA,"98,624",NA,"54.3%","26.7%","0.3%","6.7%","0.2%","4.2%","7.6%","10.3%","52.4%",NA
"450","Brentwood Union Free School",NA,"19,188","85.8%","84.3%","15.6%","15.6%",39.4,"10.6%","16.4%","3.1%","34.1%","19.9%",NA,"15,672","5.0%","16.3%","14.1%","25.2%","18.3%","21.2%",NA,"88,142",NA,"22.0%","20.6%","0.7%","3.0%","0.0%","25.2%","28.5%","59.0%","13.5%",NA
"451","Buffalo City School",NA,"122,569","72.1%","69.4%","7.1%","12.6%",26.3,"9.5%","33.9%","5.6%","22.9%","18.7%",NA,"60,850","19.3%","38.7%","21.3%","11.5%","5.6%","3.6%",NA,"276,804",NA,"45.7%","31.5%","0.3%","8.0%","0.0%","6.2%","8.3%","11.5%","44.0%",NA
"452","Greece Central School",NA,"37,108","74.8%","72.5%","9.5%","18.2%",34,"4.9%","18.2%","4.7%","31.2%","14.1%",NA,"21,842","14.2%","32.0%","30.3%","10.3%","8.5%","4.8%",NA,"85,117",NA,"71.7%","11.1%","0.8%","3.1%","0.0%","3.6%","9.6%","12.3%","68.4%",NA
"453","Ithaca City School",NA,"30,621","82.1%","79.4%","11.2%","32.2%",24.3,"0.9%","9.2%","6.0%","23.7%","16.2%",NA,"11,600","N","N","N","N","N","N",NA,"70,309",NA,"69.7%","6.4%","0.0%","14.8%","0.0%","3.7%","5.5%","7.1%","69.2%",NA
"454","Kenmore-Tonawanda Union Free School",NA,"28,411","75.1%","73.4%","8.8%","21.5%",33.6,"3.5%","18.6%","4.0%","30.0%","13.2%",NA,"16,015","N","N","N","N","N","N",NA,"65,967",NA,"84.2%","5.2%","0.2%","4.7%","0.0%","0.0%","5.6%","1.8%","83.7%",NA
"455","Longwood Central School",NA,"25,921","76.5%","75.8%","5.3%","21.8%",40.3,"6.6%","10.6%","2.2%","34.0%","11.6%",NA,"16,173","12.9%","35.3%","19.7%","16.0%","10.7%","5.4%",NA,"67,750",NA,"61.4%","10.7%","0.0%","3.1%","0.0%","12.6%","12.2%","25.8%","58.3%",NA
"456","Mount Vernon School",NA,"26,465","80.2%","79.4%","7.7%","13.8%",36.8,"8.2%","23.9%","5.5%","31.3%","16.8%",NA,"18,707","12.8%","30.1%","26.2%","22.0%","6.4%","2.6%",NA,"72,584",NA,"15.1%","56.3%","0.2%","2.4%","0.0%","14.5%","11.4%","21.4%","13.3%",NA
"457","New Rochelle City School",NA,"32,877","78.4%","74.2%","11.5%","28.7%",33.2,"6.2%","15.3%","5.1%","28.4%","14.9%",NA,"19,490","N","N","N","N","N","N",NA,"81,590",NA,"46.2%","19.3%","1.0%","6.0%","0.0%","9.7%","17.9%","30.7%","42.4%",NA
"458","Newburgh City School",NA,"26,266","79.2%","75.6%","8.9%","15.2%",34.3,"8.2%","16.4%","2.3%","28.3%","11.4%",NA,"17,178","14.2%","28.5%","24.9%","17.5%","12.2%","2.6%",NA,"67,762",NA,"45.9%","19.2%","4.6%","0.8%","0.0%","19.3%","10.2%","37.7%","41.5%",NA
"459","Rochester City School",NA,"93,263","71.4%","68.4%","8.0%","13.5%",25.8,"12.2%","31.1%","6.0%","19.3%","14.6%",NA,"43,991","22.0%","38.9%","18.3%","14.6%","5.1%","1.3%",NA,"210,594",NA,"41.8%","37.6%","0.3%","3.0%","0.0%","8.1%","9.1%","17.8%","38.3%",NA
"460","Sachem Central School",NA,"29,101","79.8%","79.7%","6.2%","16.1%",36.9,"2.8%","4.2%","1.2%","29.2%","13.0%",NA,"22,090","14.9%","23.7%","30.8%","13.7%","11.5%","5.4%",NA,"86,133",NA,"76.4%","6.0%","0.7%","3.9%","0.0%","4.7%","8.3%","14.4%","73.8%",NA
"461","Schenectady City School",NA,"28,965","69.4%","67.1%","6.1%","14.1%",34.4,"8.9%","24.7%","1.8%","21.9%","12.0%",NA,"15,047","N","N","N","N","N","N",NA,"66,985",NA,"52.4%","17.5%","1.2%","4.0%","0.0%","7.3%","17.6%","12.6%","51.2%",NA
"462","Shenendehowa Central School",NA,"29,086","81.3%","81.0%","6.6%","25.2%",28.8,"1.3%","3.4%","0.5%","29.5%","11.5%",NA,"18,621","14.1%","25.3%","35.8%","13.5%","10.2%","1.0%",NA,"69,597",NA,"85.5%","1.6%","0.3%","3.7%","0.0%","0.9%","8.1%","3.0%","85.0%",NA
"463","East Ramapo Central School District (Spring",NA,"30,858","83.8%","82.1%","10.1%","17.6%",27.4,"3.6%","24.5%","3.3%","20.7%","17.9%",NA,"25,794","9.2%","32.7%","29.4%","12.0%","9.1%","7.6%",NA,"133,273",NA,"63.6%","13.8%","0.0%","4.3%","0.0%","9.7%","8.7%","16.3%","63.0%",NA
"464","Syracuse City School",NA,"62,663","69.9%","68.0%","6.5%","17.5%",31.4,"11.4%","30.2%","6.4%","24.2%","14.4%",NA,"29,431","18.0%","40.0%","23.4%","12.0%","3.0%","3.7%",NA,"146,124",NA,"54.1%","26.0%","0.6%","5.4%","0.0%","4.0%","10.0%","9.1%","52.5%",NA
"465","Wappingers Central School",NA,"29,999","78.7%","75.8%","8.3%","25.9%",36.2,"2.7%","6.6%","1.7%","32.6%","13.4%",NA,"21,320","17.8%","26.1%","31.3%","9.7%","10.3%","4.9%",NA,"75,601",NA,"73.3%","6.3%","0.1%","3.9%","0.0%","3.3%","13.0%","13.5%","69.6%",NA
"466","Williamsville Central School",NA,"34,474","72.8%","69.3%","12.7%","29.5%",35.1,"2.8%","6.2%","1.4%","29.8%","10.6%",NA,"21,169","N","N","N","N","N","N",NA,"81,145",NA,"82.4%","1.5%","0.1%","7.9%","0.1%","0.5%","7.5%","3.6%","80.5%",NA
"467","Yonkers City School",NA,"81,397","73.3%","71.0%","9.1%","17.0%",32.5,"9.1%","19.3%","4.2%","26.5%","15.6%",NA,"51,640","17.7%","32.8%","25.3%","10.9%","7.3%","5.9%",NA,"209,506",NA,"40.7%","17.2%","0.9%","5.0%","0.0%","18.1%","18.1%","40.5%","35.9%",NA
"468","Bismarck Public School District",NA,"37,910","77.7%","74.5%","10.4%","22.0%",29.3,"2.1%","8.3%","3.0%","25.2%","11.7%",NA,"21,556","N","N","N","N","N","N",NA,"95,153",NA,"86.4%","1.9%","3.6%","1.2%","1.1%","1.0%","4.8%","2.8%","85.6%",NA
"469","Fargo Public School District",NA,"42,107","83.1%","81.8%","11.7%","22.6%",24,"2.0%","8.1%","1.4%","19.2%","13.2%",NA,"22,444","N","N","N","N","N","N",NA,"93,999",NA,"81.9%","8.3%","0.9%","2.3%","0.0%","0.5%","6.0%","3.4%","81.3%",NA
"470","West Fargo Public School District",NA,"36,610","88.8%","86.5%","9.3%","15.3%",18.4,"1.6%","5.4%","0.2%","18.6%","15.1%",NA,"19,948","N","N","N","N","N","N",NA,"78,722",NA,"83.1%","4.5%","2.4%","4.0%","0.0%","2.1%","3.9%","3.0%","82.1%",NA
"471","Akron City",NA,"79,072","70.7%","68.3%","7.5%","11.6%",31.6,"9.8%","34.9%","16.1%","22.2%","16.0%",NA,"41,340","19.7%","36.2%","20.9%","14.4%","6.5%","2.3%",NA,"179,501",NA,"54.7%","26.9%","0.2%","4.9%","0.0%","0.5%","12.8%","4.0%","53.9%","OH"
"472","Cincinnati City",NA,"160,608","75.4%","73.2%","8.6%","14.2%",23,"7.3%","22.0%","3.5%","17.1%","11.0%",NA,"68,940","16.3%","36.0%","30.3%","10.4%","4.5%","2.5%",NA,"343,054",NA,"51.5%","36.3%","0.1%","2.6%","0.0%","2.4%","7.1%","5.2%","50.5%","OH"
"473","Cleveland Municipal",NA,"171,910","68.7%","66.4%","7.3%","8.2%",28.7,"11.6%","34.1%","5.1%","18.2%","15.1%",NA,"77,013","22.1%","41.4%","16.3%","11.6%","4.6%","4.1%",NA,"369,917",NA,"34.9%","47.4%","0.6%","2.5%","0.0%","4.5%","9.9%","12.3%","33.9%","OH"
"474","Columbus City",NA,"250,801","80.8%","78.4%","8.7%","11.6%",21.5,"6.2%","16.9%","1.8%","18.1%","11.4%",NA,"118,921","14.0%","35.3%","29.9%","12.6%","4.5%","3.6%",NA,"562,954",NA,"51.4%","33.2%","0.4%","4.4%","0.0%","2.9%","7.7%","6.8%","50.6%","OH"
"475","Dayton City",NA,"58,429","71.1%","69.3%","7.3%","9.4%",30.6,"8.7%","28.6%","5.0%","23.5%","12.6%",NA,"30,233","20.2%","41.7%","17.1%","12.5%","6.3%","2.2%",NA,"146,511",NA,"45.7%","43.1%","0.2%","1.8%","0.0%","2.2%","6.9%","5.5%","44.5%","OH"
"476","Parma City",NA,"48,581","77.0%","74.9%","8.9%","16.1%",35.7,"5.9%","15.3%","3.3%","25.9%","16.2%",NA,"30,751","16.6%","34.4%","25.4%","9.2%","10.8%","3.5%",NA,"114,097",NA,"80.6%","6.8%","0.1%","1.6%","0.3%","2.8%","7.8%","7.4%","80.0%","OH"
"477","South-Western City",NA,"56,641","82.3%","79.6%","8.7%","10.3%",28.2,"4.9%","13.1%","2.4%","22.6%","16.4%",NA,"35,127","12.1%","35.4%","26.3%","12.6%","9.5%","4.1%",NA,"137,785",NA,"72.8%","12.2%","0.2%","1.4%","0.1%","4.2%","9.1%","8.4%","72.2%","OH"
"478","Toledo City",NA,"95,713","70.6%","67.9%","6.7%","9.7%",31.4,"8.7%","23.4%","4.9%","24.6%","12.9%",NA,"44,835","19.0%","37.8%","22.2%","12.3%","5.6%","3.3%",NA,"208,458",NA,"52.9%","30.3%","0.3%","1.0%","0.3%","4.3%","10.8%","10.0%","50.9%","OH"
"479","Westerville City",NA,"39,827","85.5%","83.2%","13.0%","16.5%",26.1,"2.8%","5.8%","1.3%","24.7%","10.6%",NA,"28,108","8.4%","33.5%","36.1%","7.8%","12.2%","2.0%",NA,"105,530",NA,"71.1%","15.9%","0.1%","5.5%","0.0%","2.3%","5.1%","2.7%","70.9%","OH"
"480","Willoughby-Eastlake City",NA,"32,380","77.4%","76.9%","8.2%","15.3%",32.8,"2.7%","7.0%","1.7%","32.8%","10.5%",NA,"19,058","17.0%","28.4%","36.6%","6.9%","9.6%","1.5%",NA,"71,787",NA,"85.3%","8.2%","0.2%","1.2%","0.0%","0.6%","4.6%","4.1%","84.2%","OH"
"481","Worthington City",NA,"27,892","83.9%","81.6%","9.7%","23.7%",21.4,"1.4%","7.7%","1.9%","24.1%","11.6%",NA,"18,893","N","N","N","N","N","N",NA,"67,484",NA,"75.3%","8.5%","0.1%","5.5%","0.0%","0.6%","10.0%","6.7%","75.0%","OH"
"482","Fairfield City",NA,"27,508","74.5%","72.2%","6.8%","16.5%",31.3,"5.2%","10.8%","4.6%","30.6%","16.1%",NA,"17,744","N","N","N","N","N","N",NA,"68,544",NA,"72.2%","12.3%","0.1%","7.3%","0.0%","0.8%","7.3%","5.3%","69.3%","OH"
"483","Lakota Local School District",NA,"36,152","83.0%","80.8%","9.9%","22.3%",22.4,"1.7%","4.8%","3.2%","24.2%","10.7%",NA,"27,342","N","N","N","N","N","N",NA,"104,595",NA,"75.9%","8.7%","0.1%","8.5%","0.0%","0.3%","6.5%","2.1%","75.2%","OH"
"484","West Clermont Local",NA,"32,505","77.7%","75.4%","7.7%","14.4%",28.5,"3.6%","9.0%","1.5%","23.6%","13.2%",NA,"18,596","N","N","N","N","N","N",NA,"73,462",NA,"89.9%","2.3%","0.0%","2.1%","0.0%","2.2%","3.4%","3.6%","88.9%","OH"
"485","Olentangy Local",NA,"37,867","88.1%","83.6%","14.5%","26.1%",18.5,"1.4%","3.7%","2.1%","18.1%","11.1%",NA,"29,541","8.2%","25.9%","47.6%","7.7%","10.1%","0.5%",NA,"104,830",NA,"75.2%","4.5%","0.0%","12.9%","0.0%","1.3%","6.1%","3.0%","74.8%","OH"
"486","Hilliard City",NA,"40,633","89.5%","86.9%","15.3%","18.6%",16.1,"1.9%","7.2%","3.0%","20.3%","11.7%",NA,"29,587","7.8%","25.8%","41.5%","6.3%","14.8%","3.7%",NA,"107,614",NA,"75.6%","8.5%","0.0%","6.8%","0.0%","3.0%","6.1%","5.3%","75.0%","OH"
"487","Dublin City",NA,"35,163","81.3%","79.3%","10.4%","24.2%",19.1,"2.2%","5.1%","2.0%","20.4%","10.2%",NA,"22,875","N","N","N","N","N","N",NA,"85,891",NA,"67.2%","6.8%","0.4%","14.1%","0.0%","3.5%","7.9%","7.0%","66.5%","OH"
"488","Northwest Local School District (Butler and",NA,"30,241","78.4%","75.8%","8.3%","16.3%",29.1,"3.8%","7.8%","1.5%","26.6%","10.5%",NA,"20,061","13.3%","30.0%","28.7%","14.1%","9.1%","4.8%",NA,"79,605",NA,"70.5%","22.6%","0.0%","1.7%","0.0%","0.5%","4.7%","3.1%","70.1%","OH"
"489","Hillsboro School",NA,"52,487","83.5%","81.6%","9.8%","23.6%",26.8,"3.0%","10.2%","2.5%","23.5%","15.5%",NA,"36,668","11.6%","26.7%","36.1%","11.3%","10.4%","4.0%",NA,"141,746",NA,"58.4%","1.9%","1.6%","11.6%","0.5%","12.6%","13.4%","24.1%","54.7%","OR"
"490","Greater Albany School",NA,"25,964","76.6%","74.4%","11.7%","20.9%",33.1,"3.4%","21.0%","6.3%","24.0%","18.5%",NA,"18,085","N","N","N","N","N","N",NA,"68,547",NA,"82.4%","0.4%","1.0%","1.7%","0.0%","5.1%","9.4%","14.9%","79.0%","OR"
"491","Beaverton School",NA,"119,370","82.6%","80.3%","11.5%","26.5%",24.3,"3.5%","14.0%","4.6%","19.4%","12.3%",NA,"74,523","13.2%","33.4%","36.4%","8.2%","7.0%","1.8%",NA,"291,041",NA,"63.2%","2.8%","1.1%","15.5%","0.4%","6.1%","11.1%","13.5%","61.1%","OR"
"492","Bend-La Pine Administrative School",NA,"58,481","73.9%","69.8%","13.5%","25.6%",31.5,"3.4%","11.9%","2.4%","26.4%","13.6%",NA,"36,785","N","N","N","N","N","N",NA,"135,697",NA,"88.3%","0.6%","0.2%","1.2%","0.1%","2.2%","7.5%","7.1%","85.5%","OR"
"493","Corvallis School",NA,"30,703","75.9%","72.5%","15.2%","26.2%",27.9,"2.2%","13.9%","4.7%","26.6%","14.1%",NA,"14,680","20.9%","29.7%","31.3%","11.3%","5.2%","1.5%",NA,"73,267",NA,"77.8%","1.8%","0.8%","7.9%","0.1%","2.0%","9.6%","8.8%","75.9%","OR"
"494","Eugene School",NA,"71,328","76.0%","72.1%","13.3%","27.3%",29.1,"3.7%","20.6%","7.2%","25.0%","18.7%",NA,"36,824","17.5%","34.4%","31.4%","7.3%","6.5%","2.9%",NA,"168,512",NA,"80.4%","1.6%","0.7%","3.7%","0.4%","1.4%","11.9%","8.8%","78.1%","OR"
"495","Gresham-Barlow School",NA,"32,941","78.6%","73.3%","11.8%","16.1%",28.9,"4.7%","18.0%","8.5%","22.2%","17.0%",NA,"24,055","11.3%","33.8%","26.7%","12.9%","11.0%","4.3%",NA,"89,998",NA,"73.0%","3.0%","0.6%","2.7%","1.6%","6.2%","12.9%","16.4%","68.4%","OR"
"496","Medford School",NA,"38,959","70.4%","67.2%","11.7%","20.5%",38.3,"5.0%","18.4%","3.9%","29.6%","14.7%",NA,"22,271","16.8%","30.6%","30.9%","13.6%","7.6%","0.4%",NA,"94,354",NA,"74.4%","1.2%","1.8%","1.7%","0.0%","4.8%","16.2%","18.4%","72.0%","OR"
"497","North Clackamas School",NA,"49,729","75.6%","73.1%","15.4%","24.2%",33,"4.4%","14.6%","5.2%","25.2%","18.6%",NA,"34,418","19.4%","25.5%","36.2%","8.6%","8.7%","1.6%",NA,"129,870",NA,"71.0%","1.4%","0.6%","7.7%","0.2%","5.1%","14.0%","12.2%","69.3%","OR"
"498","Portland School",NA,"238,827","81.9%","77.8%","15.0%","27.3%",19.9,"3.6%","17.6%","5.3%","17.1%","15.5%",NA,"109,608","12.9%","30.5%","42.2%","7.0%","5.8%","1.6%",NA,"508,401",NA,"73.3%","4.1%","0.9%","6.4%","0.2%","2.9%","12.1%","9.9%","71.3%","OR"
"499","Redmond School",NA,"23,586","75.1%","71.6%","17.1%","20.4%",41.8,"3.4%","11.9%","4.8%","26.5%","13.7%",NA,"16,657","N","N","N","N","N","N",NA,"65,159",NA,"84.4%","0.0%","2.8%","1.2%","0.0%","6.4%","5.2%","11.9%","81.7%","OR"
"500","Reynolds School",NA,"29,541","77.1%","75.5%","10.5%","13.1%",30.8,"7.9%","24.1%","8.4%","22.9%","17.3%",NA,"17,700","15.9%","33.5%","20.5%","16.0%","9.3%","4.8%",NA,"76,791",NA,"56.7%","10.4%","1.6%","8.0%","2.1%","9.5%","11.6%","22.5%","50.8%","OR"
"501","Salem-Keizer School",NA,"98,368","75.1%","73.6%","9.5%","16.6%",30.8,"4.8%","23.6%","6.7%","25.4%","15.7%",NA,"65,614","15.3%","30.6%","30.6%","13.4%","7.8%","2.3%",NA,"269,930",NA,"65.0%","1.6%","1.1%","3.2%","1.4%","10.8%","17.0%","26.9%","61.5%","OR"
"502","Springfield School",NA,"32,331","77.5%","75.0%","7.8%","16.5%",31.8,"8.1%","26.7%","4.5%","22.3%","22.2%",NA,"21,087","17.8%","34.2%","26.9%","13.9%","6.3%","0.9%",NA,"77,830",NA,"80.7%","0.4%","1.8%","0.8%","0.2%","6.0%","10.1%","14.1%","78.2%","OR"
"503","Tigard-Tualatin School",NA,"35,523","76.0%","74.0%","10.7%","26.6%",29.7,"3.5%","14.2%","4.1%","22.7%","10.9%",NA,"22,031","17.3%","22.9%","45.3%","7.7%","5.0%","1.8%",NA,"85,101",NA,"69.7%","2.4%","2.6%","5.4%","1.6%","6.2%","12.2%","16.4%","67.9%","OR"
"504","Allentown City",NA,"45,722","72.1%","69.3%","9.5%","12.4%",30.3,"10.1%","29.1%","8.6%","18.6%","16.4%",NA,"25,890","17.9%","34.3%","21.6%","13.8%","7.9%","4.5%",NA,"121,765",NA,"32.8%","11.1%","0.8%","0.7%","0.0%","28.3%","26.3%","57.9%","28.2%","PA"
"505","Bethlehem Area",NA,"48,304","72.3%","70.3%","8.2%","24.0%",39.1,"7.7%","16.0%","5.5%","32.8%","13.5%",NA,"29,837","17.9%","36.0%","22.8%","13.7%","6.5%","3.1%",NA,"119,445",NA,"64.6%","7.2%","0.3%","3.6%","0.1%","11.5%","12.6%","24.7%","61.5%","PA"
"506","Central Bucks",NA,"46,049","81.3%","78.9%","13.5%","30.3%",29.2,"2.0%","4.6%","1.8%","28.5%","13.0%",NA,"34,821","12.4%","23.7%","40.1%","7.5%","14.7%","1.6%",NA,"124,949",NA,"87.0%","1.1%","0.1%","4.9%","0.0%","1.2%","5.8%","4.8%","86.1%","PA"
"507","Central Dauphin",NA,"41,596","78.3%","74.9%","7.9%","19.9%",31.7,"2.7%","6.6%","2.5%","31.7%","14.4%",NA,"24,781","14.2%","24.6%","34.2%","10.6%","12.6%","3.9%",NA,"102,679",NA,"63.4%","17.5%","0.2%","9.4%","0.0%","2.3%","7.1%","9.5%","60.9%","PA"
"508","Chambersburg Area",NA,"30,574","70.3%","68.8%","6.7%","21.3%",37.6,"3.1%","12.5%","3.3%","32.3%","13.0%",NA,"19,012","N","N","N","N","N","N",NA,"73,614",NA,"82.8%","3.3%","0.9%","1.0%","0.2%","5.6%","6.2%","12.5%","78.9%","PA"
"509","Coatesville Area",NA,"26,906","82.3%","79.5%","12.5%","19.3%",32.5,"8.3%","13.8%","7.2%","26.8%","14.1%",NA,"18,373","12.5%","31.2%","28.5%","11.8%","11.1%","5.0%",NA,"71,665",NA,"66.5%","16.0%","0.0%","0.3%","0.0%","3.3%","13.9%","11.5%","64.7%","PA"
"510","Council Rock",NA,"26,732","80.6%","79.0%","12.2%","35.1%",33.5,"4.0%","3.5%","1.3%","26.4%","10.4%",NA,"21,816","11.5%","30.0%","33.7%","7.3%","14.0%","3.6%",NA,"77,010",NA,"87.5%","1.7%","0.0%","4.8%","0.0%","2.4%","3.6%","2.5%","87.1%","PA"
"511","Cumberland Valley",NA,"26,899","78.5%","76.4%","13.3%","30.9%",33.1,"0.5%","7.6%","3.2%","32.3%","17.3%",NA,"18,707","N","N","N","N","N","N",NA,"68,983",NA,"81.4%","2.4%","0.0%","12.2%","0.0%","0.1%","4.0%","2.3%","80.5%","PA"
"512","Downingtown Area",NA,"27,604","84.4%","81.6%","14.0%","27.7%",29.2,"1.4%","3.8%","2.4%","26.0%","12.6%",NA,"21,613","N","N","N","N","N","N",NA,"73,580",NA,"78.8%","3.1%","0.0%","9.9%","0.0%","1.2%","7.0%","3.8%","77.7%","PA"
"513","Easton Area",NA,"25,385","80.4%","78.4%","6.3%","17.2%",31.2,"2.4%","10.0%","3.1%","33.8%","13.3%",NA,"16,975","11.8%","30.6%","30.8%","13.6%","9.4%","3.8%",NA,"66,578",NA,"64.1%","11.3%","0.0%","5.4%","0.0%","9.2%","10.0%","16.3%","62.3%","PA"
"514","Erie City",NA,"38,636","70.6%","68.7%","5.7%","14.5%",35,"9.3%","30.3%","5.1%","24.9%","15.5%",NA,"20,465","19.3%","38.8%","22.3%","11.2%","6.0%","2.4%",NA,"94,013",NA,"66.8%","17.5%","0.4%","2.8%","0.1%","3.2%","9.2%","8.3%","65.4%","PA"
"515","Hazleton Area",NA,"30,777","71.8%","69.8%","8.8%","18.5%",40.6,"5.6%","20.9%","3.6%","28.5%","18.7%",NA,"20,498","16.1%","32.7%","23.5%","9.8%","10.1%","7.9%",NA,"83,068",NA,"63.6%","2.3%","0.0%","1.5%","0.0%","19.4%","13.1%","34.0%","61.1%","PA"
"516","Lancaster",NA,"29,397","82.9%","80.0%","10.9%","14.3%",28.1,"6.8%","28.4%","10.9%","18.3%","18.7%",NA,"17,102","6.8%","36.6%","31.4%","12.0%","8.1%","5.1%",NA,"74,432",NA,"51.8%","12.8%","0.6%","2.3%","0.2%","14.5%","17.8%","37.4%","46.6%","PA"
"517","Lower Merion",NA,"26,235","79.6%","75.0%","18.1%","42.3%",32.7,"3.7%","5.6%","3.2%","25.5%","10.4%",NA,"17,109","N","N","N","N","N","N",NA,"69,021",NA,"77.4%","6.3%","0.1%","6.8%","0.1%","1.4%","7.8%","5.2%","75.1%","PA"
"518","Neshaminy",NA,"28,032","81.6%","79.5%","9.3%","24.2%",32.6,"1.9%","8.0%","2.1%","27.3%","13.9%",NA,"19,790","N","N","N","N","N","N",NA,"74,803",NA,"78.4%","6.3%","0.0%","4.3%","0.0%","2.5%","8.5%","6.2%","76.7%","PA"
"519","Norristown Area",NA,"28,758","80.0%","78.4%","5.8%","14.1%",29.8,"7.2%","20.0%","5.8%","21.1%","10.6%",NA,"16,494","N","N","N","N","N","N",NA,"66,116",NA,"54.3%","19.5%","2.4%","4.4%","0.3%","5.7%","13.4%","17.0%","52.6%","PA"
